Source,Target,Type
402,472,Directed
402,492,Directed
402,514,Directed
402,588,Directed
402,641,Directed
402,535,Directed
402,483,Directed
402,756,Directed
947,798,Directed
947,826,Directed
947,892,Directed
947,1179,Directed
947,919,Directed
947,1051,Directed
947,1086,Directed
947,1101,Directed
947,1245,Directed
947,1293,Directed
947,1306,Directed
947,1049,Directed
947,1337,Directed
947,1021,Directed
947,1055,Directed
947,1148,Directed
947,963,Directed
947,170,Directed
660,729,Directed
660,641,Directed
660,55,Directed
660,155,Directed
660,233,Directed
660,726,Directed
660,535,Directed
660,405,Directed
660,591,Directed
660,167,Directed
660,394,Directed
660,209,Directed
660,756,Directed
660,371,Directed
660,493,Directed
660,180,Directed
660,514,Directed
660,187,Directed
660,714,Directed
660,114,Directed
660,301,Directed
660,677,Directed
660,154,Directed
660,675,Directed
660,453,Directed
660,172,Directed
660,75,Directed
847,1008,Directed
847,963,Directed
847,854,Directed
847,990,Directed
847,1112,Directed
847,1153,Directed
847,1179,Directed
847,1245,Directed
847,1435,Directed
12,564,Directed
12,96,Directed
12,155,Directed
1422,990,Directed
1422,993,Directed
1422,847,Directed
1422,1232,Directed
1422,1191,Directed
1422,1008,Directed
1422,822,Directed
1422,762,Directed
1422,1112,Directed
1422,963,Directed
1422,855,Directed
238,55,Directed
238,641,Directed
238,323,Directed
238,189,Directed
238,623,Directed
238,642,Directed
238,2,Directed
238,99,Directed
238,102,Directed
238,154,Directed
238,155,Directed
238,180,Directed
238,301,Directed
238,389,Directed
238,405,Directed
238,754,Directed
238,634,Directed
238,535,Directed
238,431,Directed
238,547,Directed
238,65,Directed
238,145,Directed
238,210,Directed
238,650,Directed
238,272,Directed
238,278,Directed
238,729,Directed
238,604,Directed
238,664,Directed
238,321,Directed
238,434,Directed
238,446,Directed
238,483,Directed
238,490,Directed
238,572,Directed
238,574,Directed
238,609,Directed
238,514,Directed
238,644,Directed
238,687,Directed
238,726,Directed
238,72,Directed
238,741,Directed
238,681,Directed
238,35,Directed
238,1437,Directed
238,387,Directed
238,391,Directed
238,422,Directed
238,119,Directed
238,837,Directed
561,641,Directed
561,1179,Directed
561,1245,Directed
561,170,Directed
561,55,Directed
561,729,Directed
561,23,Directed
561,180,Directed
561,564,Directed
561,151,Directed
561,326,Directed
561,72,Directed
561,669,Directed
561,634,Directed
561,1437,Directed
561,562,Directed
561,13,Directed
561,547,Directed
561,118,Directed
561,144,Directed
561,150,Directed
561,154,Directed
561,155,Directed
561,431,Directed
561,301,Directed
561,495,Directed
561,323,Directed
561,363,Directed
561,394,Directed
561,446,Directed
561,483,Directed
561,189,Directed
561,493,Directed
561,560,Directed
561,563,Directed
561,579,Directed
561,585,Directed
561,578,Directed
561,623,Directed
561,535,Directed
561,644,Directed
561,712,Directed
561,741,Directed
387,524,Directed
387,22,Directed
387,621,Directed
387,604,Directed
387,361,Directed
387,563,Directed
387,754,Directed
387,570,Directed
387,642,Directed
387,514,Directed
387,23,Directed
387,726,Directed
387,693,Directed
387,363,Directed
387,641,Directed
387,729,Directed
387,493,Directed
387,798,Directed
387,1051,Directed
387,756,Directed
387,118,Directed
387,155,Directed
387,259,Directed
387,99,Directed
387,114,Directed
387,35,Directed
387,301,Directed
387,40,Directed
387,547,Directed
387,347,Directed
387,417,Directed
387,374,Directed
387,278,Directed
387,218,Directed
387,1045,Directed
387,1330,Directed
387,741,Directed
387,677,Directed
387,192,Directed
387,703,Directed
387,687,Directed
387,102,Directed
387,88,Directed
387,55,Directed
387,180,Directed
387,46,Directed
387,907,Directed
387,669,Directed
387,574,Directed
387,933,Directed
387,675,Directed
387,72,Directed
387,1250,Directed
387,144,Directed
387,634,Directed
387,434,Directed
387,202,Directed
387,233,Directed
387,39,Directed
387,676,Directed
387,27,Directed
387,65,Directed
387,14,Directed
387,29,Directed
387,34,Directed
387,688,Directed
387,100,Directed
387,618,Directed
387,167,Directed
387,662,Directed
387,468,Directed
387,377,Directed
387,405,Directed
387,441,Directed
387,282,Directed
387,480,Directed
387,483,Directed
387,489,Directed
387,512,Directed
387,530,Directed
387,8,Directed
387,1126,Directed
387,567,Directed
387,572,Directed
387,577,Directed
387,587,Directed
387,591,Directed
387,615,Directed
387,268,Directed
387,609,Directed
387,75,Directed
387,737,Directed
387,399,Directed
387,16,Directed
387,18,Directed
387,484,Directed
387,109,Directed
387,115,Directed
387,660,Directed
387,299,Directed
387,402,Directed
387,460,Directed
387,623,Directed
387,650,Directed
387,256,Directed
387,465,Directed
387,172,Directed
387,432,Directed
387,379,Directed
387,389,Directed
387,461,Directed
387,1179,Directed
387,453,Directed
387,467,Directed
387,477,Directed
387,550,Directed
387,1277,Directed
387,561,Directed
387,568,Directed
387,575,Directed
387,579,Directed
387,589,Directed
387,535,Directed
387,714,Directed
387,736,Directed
387,89,Directed
387,963,Directed
387,979,Directed
387,311,Directed
387,454,Directed
387,649,Directed
191,75,Directed
191,484,Directed
191,144,Directed
191,468,Directed
191,278,Directed
191,335,Directed
191,202,Directed
191,572,Directed
191,589,Directed
191,623,Directed
191,662,Directed
191,621,Directed
191,501,Directed
191,264,Directed
191,85,Directed
191,99,Directed
191,276,Directed
191,155,Directed
191,55,Directed
191,323,Directed
191,78,Directed
191,693,Directed
191,574,Directed
191,578,Directed
191,729,Directed
191,754,Directed
191,700,Directed
191,641,Directed
191,23,Directed
191,489,Directed
191,634,Directed
191,417,Directed
191,726,Directed
191,547,Directed
191,224,Directed
191,492,Directed
191,389,Directed
191,40,Directed
191,564,Directed
191,297,Directed
191,172,Directed
191,393,Directed
191,218,Directed
191,283,Directed
191,394,Directed
191,402,Directed
191,434,Directed
191,449,Directed
191,441,Directed
191,483,Directed
191,189,Directed
191,512,Directed
191,514,Directed
191,573,Directed
191,579,Directed
191,644,Directed
191,642,Directed
191,648,Directed
191,764,Directed
191,563,Directed
191,575,Directed
191,1437,Directed
191,680,Directed
191,687,Directed
191,21,Directed
191,712,Directed
191,1477,Directed
370,979,Directed
370,1478,Directed
31,1251,Directed
31,150,Directed
31,99,Directed
31,374,Directed
31,492,Directed
31,574,Directed
31,649,Directed
31,508,Directed
31,726,Directed
31,202,Directed
31,677,Directed
31,862,Directed
31,798,Directed
31,642,Directed
31,189,Directed
31,493,Directed
31,541,Directed
31,35,Directed
31,297,Directed
31,405,Directed
31,441,Directed
31,155,Directed
31,460,Directed
31,347,Directed
31,349,Directed
31,461,Directed
31,394,Directed
31,756,Directed
31,729,Directed
31,535,Directed
31,563,Directed
31,1063,Directed
31,936,Directed
31,973,Directed
31,1463,Directed
31,97,Directed
773,1159,Directed
773,1112,Directed
773,1351,Directed
773,963,Directed
773,136,Directed
773,276,Directed
773,741,Directed
773,1277,Directed
773,1041,Directed
773,1209,Directed
773,1479,Directed
773,1101,Directed
773,855,Directed
773,1478,Directed
773,1392,Directed
773,762,Directed
773,764,Directed
773,1317,Directed
773,822,Directed
773,1306,Directed
773,885,Directed
773,1051,Directed
773,955,Directed
773,155,Directed
773,1152,Directed
773,1437,Directed
773,1348,Directed
773,798,Directed
773,1179,Directed
773,1086,Directed
773,1153,Directed
773,1245,Directed
773,1429,Directed
773,1463,Directed
773,1070,Directed
773,810,Directed
773,1063,Directed
773,119,Directed
773,889,Directed
773,962,Directed
773,1427,Directed
773,1007,Directed
773,1422,Directed
773,1414,Directed
773,897,Directed
773,1446,Directed
773,803,Directed
773,1191,Directed
773,872,Directed
773,941,Directed
773,1121,Directed
773,1141,Directed
773,1200,Directed
773,1150,Directed
773,1295,Directed
773,602,Directed
773,1360,Directed
773,1418,Directed
773,973,Directed
773,1461,Directed
773,1325,Directed
461,150,Directed
461,374,Directed
461,467,Directed
461,460,Directed
461,31,Directed
461,55,Directed
461,563,Directed
461,99,Directed
461,729,Directed
461,676,Directed
461,623,Directed
461,13,Directed
461,394,Directed
461,155,Directed
461,641,Directed
461,642,Directed
461,189,Directed
461,441,Directed
461,967,Directed
461,1463,Directed
1065,130,Directed
1065,295,Directed
1065,1064,Directed
1065,874,Directed
1065,1444,Directed
1065,895,Directed
1065,1163,Directed
1065,1409,Directed
1065,973,Directed
1065,949,Directed
1065,1141,Directed
1065,914,Directed
1065,1124,Directed
1065,1153,Directed
1065,858,Directed
1065,908,Directed
1065,1196,Directed
1065,903,Directed
1065,882,Directed
1065,276,Directed
1065,1404,Directed
1065,793,Directed
1065,1460,Directed
1065,1040,Directed
1065,1037,Directed
585,27,Directed
585,154,Directed
585,687,Directed
585,641,Directed
585,248,Directed
585,233,Directed
585,729,Directed
585,55,Directed
585,563,Directed
585,155,Directed
585,493,Directed
585,189,Directed
585,180,Directed
585,144,Directed
585,252,Directed
585,301,Directed
585,172,Directed
585,642,Directed
585,570,Directed
585,699,Directed
585,394,Directed
585,644,Directed
585,483,Directed
585,754,Directed
585,741,Directed
585,241,Directed
585,167,Directed
585,399,Directed
585,371,Directed
585,575,Directed
585,436,Directed
585,391,Directed
585,417,Directed
585,441,Directed
585,202,Directed
585,150,Directed
585,209,Directed
585,13,Directed
585,326,Directed
585,23,Directed
585,467,Directed
585,514,Directed
585,1233,Directed
585,220,Directed
585,46,Directed
585,587,Directed
585,591,Directed
585,159,Directed
585,650,Directed
585,579,Directed
585,101,Directed
585,297,Directed
585,615,Directed
585,389,Directed
585,335,Directed
585,756,Directed
585,535,Directed
585,990,Directed
585,72,Directed
156,564,Directed
156,323,Directed
156,55,Directed
156,544,Directed
156,641,Directed
156,297,Directed
156,35,Directed
156,446,Directed
156,615,Directed
156,180,Directed
156,640,Directed
156,465,Directed
156,575,Directed
156,187,Directed
156,756,Directed
156,155,Directed
156,644,Directed
156,467,Directed
156,189,Directed
156,154,Directed
156,990,Directed
156,1051,Directed
566,1430,Directed
566,535,Directed
566,644,Directed
566,301,Directed
566,676,Directed
566,13,Directed
566,664,Directed
566,189,Directed
566,363,Directed
566,726,Directed
566,417,Directed
566,483,Directed
566,489,Directed
566,31,Directed
566,405,Directed
566,441,Directed
566,623,Directed
566,347,Directed
566,297,Directed
566,642,Directed
566,563,Directed
566,434,Directed
566,687,Directed
566,650,Directed
566,729,Directed
566,180,Directed
566,323,Directed
566,727,Directed
566,155,Directed
566,150,Directed
566,669,Directed
566,55,Directed
566,99,Directed
566,480,Directed
566,118,Directed
566,754,Directed
566,641,Directed
566,460,Directed
566,461,Directed
566,72,Directed
566,144,Directed
566,634,Directed
566,493,Directed
566,756,Directed
566,394,Directed
566,172,Directed
566,85,Directed
566,609,Directed
566,248,Directed
566,102,Directed
53,55,Directed
53,446,Directed
677,641,Directed
677,155,Directed
677,23,Directed
677,729,Directed
401,402,Directed
640,65,Directed
640,154,Directed
640,170,Directed
640,248,Directed
640,642,Directed
640,687,Directed
640,609,Directed
640,574,Directed
640,23,Directed
640,55,Directed
640,155,Directed
640,89,Directed
640,741,Directed
640,72,Directed
201,172,Directed
400,487,Directed
1438,972,Directed
1438,1270,Directed
1438,1134,Directed
1438,798,Directed
1438,792,Directed
1438,1086,Directed
1438,1067,Directed
1438,1179,Directed
1438,1045,Directed
1438,1330,Directed
1438,855,Directed
1438,1489,Directed
1438,1479,Directed
1438,1081,Directed
1438,1164,Directed
1438,1000,Directed
282,434,Directed
282,180,Directed
282,641,Directed
282,65,Directed
282,575,Directed
282,144,Directed
282,23,Directed
282,118,Directed
282,155,Directed
282,75,Directed
282,55,Directed
282,15,Directed
282,363,Directed
282,483,Directed
282,189,Directed
282,669,Directed
282,609,Directed
857,933,Directed
857,490,Directed
857,961,Directed
857,1337,Directed
857,1021,Directed
857,1063,Directed
857,1112,Directed
857,1325,Directed
857,1478,Directed
857,944,Directed
857,1306,Directed
857,826,Directed
857,741,Directed
857,1232,Directed
857,988,Directed
857,1270,Directed
857,935,Directed
857,990,Directed
857,170,Directed
588,514,Directed
1338,960,Directed
1338,855,Directed
1338,854,Directed
874,996,Directed
874,963,Directed
874,802,Directed
874,854,Directed
874,855,Directed
874,1008,Directed
874,1009,Directed
874,1051,Directed
874,1065,Directed
874,1441,Directed
874,1164,Directed
1204,963,Directed
1204,1245,Directed
353,16,Directed
353,441,Directed
1437,764,Directed
1437,855,Directed
1437,1317,Directed
1437,1232,Directed
1437,312,Directed
1437,1179,Directed
1437,1055,Directed
1437,1148,Directed
1437,119,Directed
1437,1051,Directed
1437,878,Directed
1437,1112,Directed
1437,1245,Directed
1437,1041,Directed
1437,837,Directed
1437,1101,Directed
1437,1086,Directed
99,268,Directed
99,162,Directed
99,13,Directed
99,14,Directed
99,547,Directed
99,35,Directed
99,39,Directed
99,564,Directed
99,114,Directed
99,118,Directed
99,144,Directed
99,145,Directed
99,150,Directed
99,155,Directed
99,167,Directed
99,187,Directed
99,191,Directed
99,210,Directed
99,460,Directed
99,55,Directed
99,218,Directed
99,650,Directed
99,180,Directed
99,301,Directed
99,495,Directed
99,323,Directed
99,465,Directed
99,172,Directed
99,432,Directed
99,454,Directed
99,347,Directed
99,664,Directed
99,351,Directed
99,363,Directed
99,371,Directed
99,387,Directed
99,461,Directed
99,394,Directed
99,756,Directed
99,405,Directed
99,417,Directed
99,434,Directed
99,441,Directed
99,446,Directed
99,467,Directed
99,468,Directed
99,472,Directed
99,477,Directed
99,480,Directed
99,483,Directed
99,489,Directed
99,693,Directed
99,189,Directed
99,492,Directed
99,493,Directed
99,202,Directed
99,508,Directed
99,729,Directed
99,519,Directed
99,517,Directed
99,536,Directed
99,544,Directed
99,90,Directed
99,551,Directed
99,563,Directed
99,566,Directed
99,570,Directed
99,574,Directed
99,577,Directed
99,579,Directed
99,591,Directed
99,297,Directed
99,374,Directed
99,754,Directed
99,615,Directed
99,623,Directed
99,634,Directed
99,535,Directed
99,514,Directed
99,642,Directed
99,641,Directed
99,644,Directed
99,389,Directed
99,669,Directed
99,575,Directed
99,675,Directed
99,649,Directed
99,687,Directed
99,703,Directed
99,712,Directed
99,714,Directed
99,726,Directed
99,727,Directed
99,72,Directed
99,89,Directed
99,621,Directed
643,990,Directed
643,979,Directed
356,495,Directed
356,741,Directed
1357,1306,Directed
1357,855,Directed
1357,1164,Directed
1357,1095,Directed
1357,170,Directed
1357,55,Directed
1357,363,Directed
1357,822,Directed
1357,1001,Directed
801,1153,Directed
801,1191,Directed
801,539,Directed
801,1069,Directed
801,1479,Directed
801,170,Directed
801,1306,Directed
801,1008,Directed
801,1150,Directed
801,855,Directed
801,1245,Directed
801,961,Directed
801,963,Directed
671,249,Directed
671,424,Directed
98,729,Directed
98,155,Directed
98,114,Directed
98,453,Directed
492,323,Directed
492,641,Directed
492,483,Directed
492,664,Directed
492,389,Directed
492,155,Directed
492,687,Directed
492,248,Directed
492,78,Directed
492,229,Directed
492,331,Directed
492,172,Directed
492,75,Directed
492,13,Directed
492,14,Directed
492,31,Directed
492,431,Directed
492,547,Directed
492,35,Directed
492,85,Directed
492,97,Directed
492,99,Directed
492,102,Directed
492,297,Directed
492,115,Directed
492,118,Directed
492,144,Directed
492,145,Directed
492,150,Directed
492,154,Directed
492,396,Directed
492,205,Directed
492,202,Directed
492,204,Directed
492,55,Directed
492,699,Directed
492,233,Directed
492,180,Directed
492,465,Directed
492,347,Directed
492,454,Directed
492,363,Directed
492,394,Directed
492,402,Directed
492,405,Directed
492,417,Directed
492,434,Directed
492,446,Directed
492,441,Directed
492,480,Directed
492,489,Directed
492,189,Directed
492,493,Directed
492,1229,Directed
492,729,Directed
492,519,Directed
492,563,Directed
492,564,Directed
492,566,Directed
492,570,Directed
492,577,Directed
492,620,Directed
492,591,Directed
492,603,Directed
492,754,Directed
492,615,Directed
492,623,Directed
492,634,Directed
492,642,Directed
492,535,Directed
492,644,Directed
492,650,Directed
492,675,Directed
492,703,Directed
492,726,Directed
492,727,Directed
492,649,Directed
492,72,Directed
492,741,Directed
492,712,Directed
492,714,Directed
492,621,Directed
298,299,Directed
298,661,Directed
298,64,Directed
298,155,Directed
298,514,Directed
298,664,Directed
298,55,Directed
298,642,Directed
298,547,Directed
298,535,Directed
298,204,Directed
1352,878,Directed
1352,762,Directed
1352,1245,Directed
1352,1041,Directed
1352,1153,Directed
1352,1101,Directed
1352,588,Directed
1352,1232,Directed
1352,835,Directed
1352,483,Directed
1352,1051,Directed
1352,798,Directed
1352,963,Directed
1352,1122,Directed
1352,1270,Directed
1352,1455,Directed
1352,810,Directed
1352,855,Directed
1352,1179,Directed
1352,952,Directed
1352,972,Directed
1352,980,Directed
1352,993,Directed
1352,1048,Directed
1352,862,Directed
1352,1112,Directed
1352,898,Directed
1352,1185,Directed
1352,1215,Directed
1352,1217,Directed
1352,1317,Directed
1352,1437,Directed
1352,1461,Directed
1352,1479,Directed
349,150,Directed
349,493,Directed
349,535,Directed
349,1463,Directed
1162,1374,Directed
1162,1270,Directed
1162,1041,Directed
1162,895,Directed
1162,1170,Directed
1162,1425,Directed
1162,1456,Directed
1162,996,Directed
1162,855,Directed
1162,963,Directed
1162,519,Directed
1162,1277,Directed
1162,1461,Directed
1162,1095,Directed
1162,792,Directed
1162,798,Directed
1162,826,Directed
1162,878,Directed
1162,1121,Directed
1162,972,Directed
1162,973,Directed
1162,980,Directed
1162,988,Directed
1162,835,Directed
1162,1045,Directed
1162,1048,Directed
1162,1051,Directed
1162,1086,Directed
1162,1101,Directed
1162,1112,Directed
1162,1164,Directed
1162,1390,Directed
1162,961,Directed
1162,1245,Directed
