;01T03: Agriculture, forestry and fishing;05T06: Mining and extraction of energy producing products;07T08: Mining and quarrying of non-energy producing products;09: Mining support service activities;10T12: Food products, beverages and tobacco;13T15: Textiles, wearing apparel, leather and related products;16: Wood and products of wood and cork;17T18: Paper products and printing;19: Coke and refined petroleum products;20T21: Chemicals and pharmaceutical products;22: Rubber and plastic products;23: Other non-metallic mineral products;24: Basic metals;25: Fabricated metal products;26: Computer, electronic and optical products;27: Electrical equipment;28: Machinery and equipment, nec;29: Motor vehicles, trailers and semi-trailers;30: Other transport equipment;"31T33: Other manufacturing; repair and installation of machinery and equipment";35T39: Electricity, gas, water supply, sewerage, waste and remediation services;41T43: Construction;"45T47: Wholesale and retail trade; repair of motor vehicles";49T53: Transportation and storage;55T56: Accomodation and food services;58T60: Publishing, audiovisual and broadcasting activities;61: Telecommunications;62T63: IT and other information services;64T66: Financial and insurance activities;68: Real estate activities;69T82: Other business sector services;"84: Public admin. and defence; compulsory social security";85: Education;86T88: Human health and social work;90T96: Arts, entertainment, recreation and other service activities
22: Rubber and plastics products;2124.5;308.9;210.7;126.6;12477.3;1009.1;812.0;3584.7;92.4;8378.4;16729.5;1023.5;1957.2;3435.4;990.8;1324.5;7177.3;27216.3;7150.6;5863.8;1302.2;21824.9;13765.2;7570.7;7206.4;496.8;1670.9;679.8;931.2;2515.0;7967.4;9488.3;2634.5;11039.6;2576.5
23: Other non-metallic mineral products;151.6;102.1;226.9;142.9;4353.9;344.0;1307.5;651.9;266.6;3320.0;2199.8;14361.8;1659.8;1655.7;236.1;1057.5;1852.3;7860.5;1468.6;1487.8;745.7;48327.7;1509.0;1133.0;4766.8;77.2;341.1;175.6;237.7;1423.6;3339.8;3768.1;658.6;4558.4;1376.4
24: Manufacture of basic metals;236.9;292.8;146.8;393.7;1078.5;68.2;185.5;1770.9;170.2;1865.7;1375.0;1089.7;41911.5;57483.5;4779.9;12082.9;24688.1;32379.8;16457.7;12036.6;1726.8;32067.8;4423.7;558.8;125.9;60.8;370.8;44.1;71.6;503.4;788.6;846.8;153.5;610.5;475.5
25: Fabricated metal products, except machinery and equipment;3511.3;693.5;329.3;257.4;10648.4;943.6;3060.2;6706.0;146.3;5599.4;7947.4;2787.1;10872.1;41894.4;4414.9;6825.3;26061.6;46947.3;13756.7;7331.8;2902.5;70265.5;4965.8;5718.6;8497.8;680.5;939.7;955.4;535.5;2915.2;11007.2;18085.1;1619.2;3028.3;2741.1
26: Computer, electronic and optical products;471.8;135.2;110.9;194.0;1398.2;1117.6;1432.8;6526.7;148.4;2337.2;4361.4;1702.0;1157.0;8118.6;36990.5;5461.7;11901.8;38479.4;7541.6;3364.1;2148.9;13548.9;14167.7;4388.7;1939.5;5907.0;38142.2;18338.6;7173.2;1231.8;26638.5;50426.5;4303.4;9754.6;8860.1
27: Electrical equipment;697.2;141.8;93.2;73.4;941.0;161.9;1003.8;1027.2;34.2;1408.6;1508.1;266.4;1916.6;4371.9;2706.8;6785.1;12348.2;7637.3;6910.1;1318.6;3359.1;33515.7;2030.6;3282.1;2971.1;114.7;5962.2;2024.7;456.7;1252.9;7174.3;6375.3;3558.3;1687.1;3036.6
28: Machinery and equipment n.e.c.;7174.0;2315.7;1125.2;2644.0;4862.8;415.9;1212.6;6057.0;97.3;4871.6;5012.1;831.0;5749.1;10479.8;1203.4;3872.6;49749.3;49257.7;21480.4;3117.7;3925.3;50404.6;6039.9;6934.3;3513.9;539.9;2557.1;1957.5;826.8;6622.6;12679.7;12111.3;13216.8;3712.9;3699.0
29: Motor vehicles, trailers and semi-trailers;823.4;95.6;55.3;105.2;628.4;162.8;470.2;928.2;35.8;598.1;791.4;389.8;722.4;1981.9;645.9;572.9;6571.7;98450.2;2943.9;616.1;622.4;6974.4;13797.5;5716.7;885.7;269.9;707.6;399.5;327.3;457.6;3208.4;6784.5;1708.8;1114.7;719.7
30: Other transport equipment;238.6;85.0;35.7;66.9;345.7;149.1;88.3;299.1;19.5;296.6;312.7;68.4;258.5;673.4;223.3;257.8;1908.9;3252.1;27191.6;236.4;193.2;2679.5;1482.9;3112.3;282.4;87.2;323.5;301.1;194.6;373.9;1647.6;10847.4;449.6;359.8;313.1
"31T33: Other manufacturing; repair and installation of machinery and equipment";402.5;71.6;36.4;65.8;997.3;485.9;409.6;665.7;80.5;922.9;599.9;251.3;1183.5;1920.9;617.2;538.0;1909.5;3800.3;1368.1;5705.1;432.2;4945.3;3744.1;1107.4;1141.6;383.5;551.2;414.4;1071.8;2773.5;3974.0;5820.4;1944.8;16166.0;2058.9
35T39: Electricity, gas, water supply, sewerage, waste and remediation services;3079.4;1099.9;554.9;273.8;5858.8;1275.2;1217.0;6752.4;2410.4;10159.5;3216.1;2889.6;10306.0;3637.6;1014.9;609.5;2042.3;3850.9;1498.8;1227.8;24785.6;3355.7;20988.2;7384.0;9465.0;1455.8;2953.7;1633.4;4654.8;36832.7;13696.7;36029.2;7876.7;21506.0;8010.2
41T43: Construction;173.4;50.7;44.9;12.9;91.2;16.3;16.3;53.4;193.5;205.4;33.7;41.3;89.2;58.3;12.9;12.4;48.7;91.0;64.0;57.5;370.6;136.6;268.4;789.4;116.7;48.5;429.4;122.3;243.8;10227.1;1518.8;3793.8;89.1;428.4;535.0
"45T47: Wholesale and retail trade; repair of motor vehicles";48766.4;2206.4;1298.5;1532.4;139302.3;16252.7;11630.1;26910.6;9983.6;67914.8;29327.6;9414.4;16259.6;27217.4;17171.6;12562.2;40596.5;82842.1;29602.2;27000.6;12466.2;95841.0;114660.2;48970.5;66313.6;20573.1;25356.0;14076.0;21582.7;25453.9;84385.7;81409.0;17676.5;82967.1;29580.6
49T53: Transportation and storage;11809.7;1626.3;650.7;745.4;37654.6;2454.9;3358.7;7802.5;29827.7;19755.1;5161.9;6436.8;13370.9;7644.2;2878.0;2265.7;7166.1;15433.7;5882.4;5487.8;9815.3;26028.5;62089.2;106787.6;9544.4;8190.2;8488.2;4385.4;17759.0;9884.6;35095.0;52857.8;7072.8;18864.9;9680.1
55T56: Accomodation and food services;299.6;35.4;25.2;152.5;1029.1;309.9;632.0;1734.4;107.0;1093.0;1172.5;546.8;324.3;1563.2;120.0;85.0;868.3;1251.5;858.8;374.9;772.7;1726.9;6514.2;4613.3;5641.9;1750.7;695.7;2804.5;11702.0;16799.5;27873.8;16750.6;5994.8;18306.9;5923.2
58T60: Publishing, audiovisual and broadcasting activities;118.7;39.5;18.1;6.8;2582.3;97.0;38.8;318.7;52.9;2285.8;107.7;48.0;193.2;173.4;168.0;56.4;162.0;313.5;1393.4;228.2;382.4;432.4;18909.8;3668.0;3123.9;91719.7;23118.0;10020.2;6532.0;6279.9;52494.3;18210.9;4607.0;6913.0;25480.8
61: Telecommunications;1123.6;108.6;88.9;125.1;1890.7;436.6;336.0;1018.1;496.7;1807.8;795.0;468.7;393.3;1369.7;994.1;337.4;1268.9;2047.5;1245.7;825.5;1552.6;3001.6;27793.3;11476.1;5007.3;8168.7;122956.9;11263.2;25556.0;13115.4;36049.9;44122.1;4379.4;16122.5;9280.3
62T63: IT and other information services;691.8;182.3;41.8;44.9;2915.6;318.2;312.2;1023.6;385.4;2402.4;758.8;340.8;547.0;1019.2;1052.8;433.1;1258.1;2280.9;1094.0;738.0;1065.6;2872.9;13356.6;5577.1;2192.2;7082.1;7414.2;21809.9;16345.7;6167.6;23516.6;21715.3;2622.5;7367.6;4700.3
64T66: Financial and insurance activities;19879.4;1013.6;532.0;869.9;11966.6;2135.7;1325.8;3516.0;839.4;12687.3;3367.5;2129.3;6817.0;5119.8;1436.8;1075.5;3768.8;6295.7;8710.4;3812.9;7203.3;11891.7;94452.1;39681.1;23269.7;7083.9;11923.1;11375.8;643060.4;128298.0;101336.6;38879.8;14933.0;158865.0;19112.4
68: Real estate activities;4793.8;45.8;57.0;43.1;5588.6;860.9;348.3;781.2;73.6;3453.7;585.9;254.6;637.7;1310.2;1884.0;207.5;652.9;1006.8;3180.9;2579.6;3346.5;8612.4;209348.5;27785.7;56818.7;6175.2;17850.2;12648.1;22451.6;343201.9;91468.6;74392.2;129731.9;147461.9;31408.1
69T82: Other business sector services;16366.6;4966.8;897.7;2761.9;50085.0;5128.2;5593.2;18116.5;7959.9;47163.9;13918.7;8099.6;8198.0;21447.9;16971.0;6514.8;18170.8;41913.8;24050.4;12211.4;22564.0;80988.1;335004.0;101314.5;77497.6;43560.0;57257.8;62270.6;149895.8;175729.4;568238.4;243314.4;45743.6;145602.9;77972.6
"84: Public administration and defence; compulsory social security";208.9;352.0;240.2;1.6;3521.6;1140.5;445.7;1604.0;1107.5;5745.5;1001.8;709.7;341.1;1482.8;203.2;219.1;576.2;1729.2;2674.7;1658.4;6514.6;40.7;11359.5;21674.1;8291.7;3054.2;8783.4;5328.0;6628.8;6475.2;59399.5;40977.6;2046.2;19801.6;16486.7
85: Education;2767.4;627.3;233.0;27.9;2932.1;259.2;193.6;1247.4;61.7;4259.7;425.3;186.7;618.5;548.9;102.9;43.7;321.8;504.3;1243.6;186.3;1520.6;967.1;69087.5;8175.7;1591.7;871.5;7307.0;12536.5;10810.0;4637.3;51377.3;10309.7;48672.0;5617.1;17639.0
86T88: Human health and social work;4.7;5.0;4.4;0.4;186.5;12.9;1.7;3.9;7.3;78.0;3.9;1.6;228.3;5.0;5.0;2.2;7.5;16.3;7.1;4.1;3.8;16.0;207.5;21.0;11.6;3.4;27.1;10.5;61.5;43.9;580.8;40.1;16.2;53504.9;1464.1
90T96: Arts, entertainment, recreation and other service activities;333.1;139.5;67.5;59.6;779.6;129.9;138.5;352.9;142.5;488.6;213.2;137.9;483.3;310.9;241.1;92.5;244.8;720.2;417.1;244.5;444.1;1275.5;5684.9;2569.2;3583.7;2075.6;1382.3;1606.2;2416.1;2363.8;7591.2;7673.3;1920.5;10506.9;12853.4
